Level 5	Level 4	Level 3	Level 2	Level 1	Level 5	Level 4	Level 3	Level 2	Level 1	
1	SPG_L	SPG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L	SPG_L	SPG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L
2	Cingulate_L	Cingulate_L	Limbic_L	CerebralCortex_L	CerebralCortex_L	Cingulate_L	Cingulate_L	Limbic_L	CerebralCortex_L	CerebralCortex_L
3	SFG_L	SFG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L	SFG_L	SFG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L
4	MFG_L	MFG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L	MFG_L	MFG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L
5	IFG_L	IFG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L	IFG_L	IFG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L
6	PrCG_L	PrCG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L	PrCG_L	PrCG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L
7	PoCG_L	PoCG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L	PoCG_L	PoCG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L
8	AG_L	AG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L	AG_L	AG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L
9	PrCu_L	PrCu_L	Parietal_L	CerebralCortex_L	CerebralCortex_L	PrCu_L	PrCu_L	Parietal_L	CerebralCortex_L	CerebralCortex_L
10	Cu_L	Cu_L	Occipital_L	CerebralCortex_L	CerebralCortex_L	Cu_L	Cu_L	Occipital_L	CerebralCortex_L	CerebralCortex_L
11	LG_L	LG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L	LG_L	LG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L
12	FuG_L	FuG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L	FuG_L	FuG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L
13	PHG_L	Limbic_L	Limbic_L	CerebralCortex_L	CerebralCortex_L	PHG_L	Limbic_L	Limbic_L	CerebralCortex_L	CerebralCortex_L
14	SOG_L	SOG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L	SOG_L	SOG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L
15	IOG_L	IOG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L	IOG_L	IOG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L
16	MOG_L	MOG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L	MOG_L	MOG_L	Occipital_L	CerebralCortex_L	CerebralCortex_L
17	ENT_L	Limbic_L	Limbic_L	CerebralCortex_L	CerebralCortex_L	ENT_L	Limbic_L	Limbic_L	CerebralCortex_L	CerebralCortex_L
18	STG_L	STG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L	STG_L	STG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L
19	ITG_L	ITG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L	ITG_L	ITG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L
20	MTG_L	MTG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L	MTG_L	MTG_L	Temporal_L	CerebralCortex_L	CerebralCortex_L
21	LFOG_L	OG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L	LFOG_L	OG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L
22	MFOG_L	OG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L	MFOG_L	OG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L
23	SMG_L	SMG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L	SMG_L	SMG_L	Parietal_L	CerebralCortex_L	CerebralCortex_L
24	RG_L	RG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L	RG_L	RG_L	Frontal_L	CerebralCortex_L	CerebralCortex_L
25	Insula_L	Insula_L	Insula_L	CerebralCortex_L	CerebralCortex_L	Insula_L	Insula_L	Insula_L	CerebralCortex_L	CerebralCortex_L
26	Amyg_L	Amyg_L	Amyg_L	CerebralNucli_L	CerebralNucli_L	Amyg_L	Amyg_L	Amyg_L	CerebralNucli_L	CerebralNucli_L
27	Hippo_L	Hippo_L	Limbic_L	CerebralCortex_L	CerebralCortex_L	Hippo_L	Hippo_L	Limbic_L	CerebralCortex_L	CerebralCortex_L
28	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L	CerebellarGM_L
29	CorticospinalTractLeft	CorticofugalLeft	CorticofugalLeft	BrainstemWMLeft	WMLeft	CorticospinalTractLeft	CorticofugalLeft	CorticofugalLeft	BrainstemWMLeft	WMLeft
30	InferiorCerebellarPeduncleLeft	CerebellarWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft	InferiorCerebellarPeduncleLeft	CerebellarWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft
31	MedialLemniscusLeft	Sensory	Sensory	BrainstemWMLeft	WMLeft	MedialLemniscusLeft	Sensory	Sensory	BrainstemWMLeft	WMLeft
32	SuperiorCerebellarPeduncleLeft	CerebellarWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft	SuperiorCerebellarPeduncleLeft	CerebellarWMLeft	CerebellarWMLeft	CerebellarWMLeft	WMLeft
